经销商代码之计数,经销商名称之计数,服务大区,服务区域经理,1月零附件达成,2月零附件达成,3月零附件达成,4月零附件达成,5月零附件达成,6月零附件达成,7月零附件达成,8月零附件达成,9月零附件达成,10月零附件达成,11月零附件达成,Unnamed: 15,Unnamed: 16
A15940,昆明京源达汽车销售有限责任公司,西区,蒋旗,693609.8999999999,460843.5,297798.66999999975,,,,,,,,,,1452252.0699999996
A18077,深圳通利华福滨汽车服务有限公司,南区,薛仲锋,611442.44,533840.0800000001,325074.45999999973,,,,,,,,,,1470356.9799999997
M18538,上海交运起荣汽车销售服务有限公司,东区,张晔,537496.77,355873.03,141286.56,,,,,,,,,,1034656.3600000001
M18026,南京天瑞汽车销售服务有限公司,东区,钱曦,504797.73,448948.28,121919.64000000001,,,,,,,,,,1075665.65
A13339,惠州市通力达汽车销售服务有限公司,南区,张裕坤,477312.05,481076.74,350744.72999999986,,,,,,,,,,1309133.52
A13308,义乌市祥马汽车销售服务有限公司,东区,陈秋刚,681844.56,366135.42,223344.85999999993,,,,,,,,,,1271324.8399999999
A14981,江门市振宇汽车销售服务有限公司,南区,宋扬,610589.15,348482.59,204101.27999999988,,,,,,,,,,1163173.0199999998
M18571,重庆万事新汽车销售服务有限公司,西区,孔立刚,866091.4199999999,409644.17,154327.93999999994,,,,,,,,,,1430063.5299999998
A17995,哈尔滨龙洋汽车销售有限公司,北区,邵传海,602045.9299999999,470169.18,217351.51999999981,,,,,,,,,,1289566.6299999997
M18613,广州博程汽车有限公司,南区,王胜文,250423.91,24877.11,62061.19999999999,,,,,,,,,,337362.22000000003
M18042,深圳通利华龙城汽车销售服务有限公司,南区,薛仲锋,505731.45,262752.1,127517.02,,,,,,,,,,896000.5700000001
A16596,台州市诺亚汽车贸易有限公司,东区,李波,522662.03,307774.01,210438.3999999998,,,,,,,,,,1040874.4399999998
M18003,重庆金团汽车销售服务有限公司,西区,孔立刚,448152.54000000004,463644.08,190405.36999999988,,,,,,,,,,1102201.99
A13544,昆山富骏汽车销售服务有限公司,东区,晏礼奎,726669.8500000001,335012.63,317655.3099999997,,,,,,,,,,1379337.7899999996
M18196,陕西骏威汽车销售服务有限公司,西区,李兴坤,410378.29,396801.96,166367.16999999995,,,,,,,,,,973547.4199999999
M18190,河南小伙伴汽车销售有限公司,中区,倪超,521668.07,269712.13,152350.78000000003,,,,,,,,,,943730.98
M18333,无锡荣事达汽车贸易服务有限公司,东区,晏礼奎,516162.08999999997,404350.74,196982.26999999984,,,,,,,,,,1117495.0999999999
M18537,上海路帅汽车销售有限公司,东区,张晔,487263.45999999996,235753.08,137214.57999999993,,,,,,,,,,860231.1199999999
M18561,四川中鹏汽车销售服务有限公司,西区,陈莉,655200.19,419596.56,301246.2799999997,,,,,,,,,,1376043.0299999998
M18276,辽宁福达汽车销售服务有限公司,北区,鲁金泽,626841.44,358957.36,107614.74,,,,,,,,,,1093413.54
A13558,绵阳星鸿达汽车销售服务有限公司,西区,陈莉,688020.7699999999,642022.8099999999,222629.24999999985,,,,,,,,,,1552672.8299999996
M18285,吉林省仁德汽车销售服务有限公司,北区,唐宏宇,524791.53,297855.08,110157.6,,,,,,,,,,932804.2100000001
A27896,青岛安隆达汽车销售有限公司,中区,李付敬,526047.96,244149.06,151670.45,,,,,,,,,,921867.47
A14837,无锡市东方运达汽车销售服务有限公司,东区,晏礼奎,603655.85,414681.67,167919.50999999998,,,,,,,,,,1186257.03
A13258,1江西江铃海外马自达汽车销售服务有限公司,南区,王胜文,432477.98,137060.39,375797.94,,,,,,,,,,945336.31
A13305,成都东成安邦汽车销售服务有限公司,西区,陈莉,445021.72,311224.47,156307.40999999995,,,,,,,,,,912553.5999999999
M18131,四川西星实业发展有限公司,西区,陈莉,483278.75,418048.94,217096.96000000008,,,,,,,,,,1118424.65
M18351,广东物通驭达汽车有限公司,南区,王胜文,418687.11000000004,202194.24,151721.01000000004,,,,,,,,,,772602.3600000001
M18041,绍兴国赛汽车有限公司,东区,李波,594970.13,334491.77999999997,178169.17999999993,,,,,,,,,,1107631.0899999999
A24515,上海弘绅汽车销售服务有限公司,东区,张晔,403875.17,229138.81,127951.96000000002,,,,,,,,,,760965.94
M18519,宁波合辰汽车销售服务有限公司,东区,李波,486072.64,430130.96,193957.62000000005,,,,,,,,,,1110161.2200000002
M18526,上海景和金沙汽车销售有限公司,东区,张晔,452962.45,216997.72999999998,105791.23000000005,,,,,,,,,,775751.41
M18038,北京仁正利成汽车销售服务有限公司,北区,祁玮,397828.39,191003.78,135510.83000000002,,,,,,,,,,724343.0
A21336,佛山骏迪汽车有限公司,南区,宋扬,512680.11,396489.16000000003,326048.6299999998,,,,,,,,,,1235217.9
M18078,瑞安市深发汽车销售服务有限公司,东区,陈秋刚,346914.55,237285.11,139473.41,,,,,,,,,,723673.07
M18051,百色万马汽车销售服务有限公司,南区,薛仲锋,462816.65,312819.76,151205.40000000008,,,,,,,,,,926841.81
M18520,嘉兴市禾通汽车销售服务有限公司,东区,张晔,349845.22,214418.96999999997,119200.11000000006,,,,,,,,,,683464.3
A13341,佛山海迪汽车有限公司,南区,宋扬,378101.0,322081.83999999997,136821.10999999993,,,,,,,,,,837003.95
A13338,东莞市通益汽车销售服务有限公司,南区,张裕坤,519169.4,322447.18000000005,210396.33999999976,,,,,,,,,,1052012.92
M18331,淮安市宏宇翔舜汽车销售服务有限公司,东区,钱曦,360864.11999999994,332704.86,192904.43,,,,,,,,,,886473.4099999999
M18069,中国长安汽车集团天津销售有限公司,北区,邵传海,303495.36,135084.51,53243.19,,,,,,,,,,491823.06
A17996,苏州瀚龙汽车销售有限公司,东区,晏礼奎,716114.6900000001,529252.08,238897.5199999998,,,,,,,,,,1484264.2899999998
M18539,南通银达汽车销售服务有限公司,东区,陈秋刚,321422.41,189772.38,160912.16999999993,,,,,,,,,,672106.96
A19820,佛山市耀田汽车有限公司,南区,宋扬,414831.64,253988.49,206556.81999999995,,,,,,,,,,875376.95
A13340,中山市万事得汽车销售服务有限公司,南区,宋扬,363613.21,361524.1,157943.87000000005,,,,,,,,,,883081.1800000002
M18245,常德汇智汽车销售服务有限公司,南区,李志杰,422823.07,341905.05,144655.13000000003,,,,,,,,,,909383.25
A15116,柳州鑫广达博骏汽车销售服务有限公司,南区,薛仲锋,339819.45999999996,264364.36,213070.05999999994,,,,,,,,,,817253.8799999999
M18009,桂林鑫广达博骏汽车销售服务有限公司,南区,薛仲锋,353503.67,370429.66,171367.31999999998,,,,,,,,,,895300.6499999999
M18365,中山市中达汽车销售服务有限公司,南区,宋扬,373048.66000000003,265952.84,134417.73999999996,,,,,,,,,,773419.24
A15497,福州杰龙车业发展有限公司,南区,陈建民,321269.24,182377.16999999998,113005.33000000002,,,,,,,,,,616651.74
M18220,上海苏源汽车销售服务有限公司,东区,张晔,382499.2,299668.85,132309.84000000008,,,,,,,,,,814477.8900000001
M18390,保定市威达汽车销售服务有限公司,北区,鲁金泽,382980.94,145556.54,110289.79000000004,,,,,,,,,,638827.27
M18235,湖南长驰长马汽车销售服务有限公司,南区,李志杰,411763.49,333701.4,149267.24999999997,,,,,,,,,,894732.14
M18014,舟山凯桥汽车销售有限公司,东区,李波,305885.51,267521.13,112380.19,,,,,,,,,,685786.8300000001
M18251,长沙瑞亿达汽车销售服务有限公司,南区,李志杰,308327.49999999994,291747.68,119579.34000000003,,,,,,,,,,719654.52
A13261,潍坊东裕车业发展有限公司,中区,李伟,445521.87,269665.36,107175.45999999999,,,,,,,,,,822362.69
A13265,武汉龙泰元汽车销售服务有限公司,中区,张哲,513338.73,249922.46,155759.34000000005,,,,,,,,,,919020.53
A18055,吉林省瑞祥汽车销售服务有限公司,北区,唐宏宇,196396.31,124142.44,38843.909999999996,,,,,,,,,,359382.66
M18180,南京天辉汽车销售服务有限公司,东区,钱曦,421356.9,198957.53,179999.99000000005,,,,,,,,,,800314.4200000002
M18307,北京华日通汽车销售服务有限公司,北区,祁玮,401830.64999999997,180794.1,122964.3600000001,,,,,,,,,,705589.1100000001
M18052,咸阳伟益汽车销售服务有限公司,西区,李兴坤,421469.0,293516.8,190056.05999999985,,,,,,,,,,905041.8599999999
M18118,1赣州腾马汽车服务有限公司,南区,王胜文,245862.21,227247.41999999998,125608.35000000002,,,,,,,,,,598717.98
A13275,烟台泓和汽车销售服务有限公司,中区,李付敬,463256.55999999994,273226.34,115098.8900000001,,,,,,,,,,851581.79
M18913,乌鲁木齐笑好景星汽车销售有限公司,西区,蔡永生,477167.82,249678.01,57668.89000000003,,,,,,,,,,784514.7200000001
M18353,厦门吉顺丰汽车贸易有限公司,南区,陈建民,368090.73,233860.38,164089.69000000003,,,,,,,,,,766040.8
M18610,广西马之悦汽车销售服务有限公司,南区,薛仲锋,374903.73,284555.61,166862.78,,,,,,,,,,826322.12
M18025,肇庆美轮庆达汽车有限公司,南区,宋扬,218948.93,207436.1,105277.14,,,,,,,,,,531662.17
M23002,重庆瀚达汽车销售服务有限公司,西区,孔立刚,340365.5,220612.71000000002,141842.51000000004,,,,,,,,,,702820.72
M18049,芜湖瑞马汽车销售服务有限公司,中区,李付敬,351959.19,180033.94,102303.76,,,,,,,,,,634296.89
A13300,泰州天顺达汽车贸易有限公司,东区,钱曦,423320.44,181128.53,111431.79,,,,,,,,,,715880.76
M18099,山西马博士汽车销售有限公司,北区,姜洙,265688.23,196647.77,187387.1799999999,,,,,,,,,,649723.1799999999
M18511,温州将军汽车销售服务有限公司,东区,陈秋刚,303554.69,197241.56,114940.56000000001,,,,,,,,,,615736.81
A14861,银川瑞鼎汽车销售服务有限公司,西区,蔡永生,265610.14,188732.63,35630.44000000001,,,,,,,,,,489973.21
M23003,湖州长马汽车销售服务有限公司,东区,张晔,260842.35,154674.7,124647.59000000003,,,,,,,,,,540164.6400000001
M18229,天津远大盈之马汽车销售服务有限公司,北区,邵传海,405856.43,209454.55,191235.9699999999,,,,,,,,,,806546.95
M18573,云南善为汽车销售服务有限公司,西区,蒋旗,316574.52999999997,174789.61,90309.42000000001,,,,,,,,,,581673.5599999999
M18283,长春久鼎汽车销售服务有限公司,北区,唐宏宇,270226.16000000003,178565.58000000002,63998.06999999999,,,,,,,,,,512789.81000000006
M18105,苏州恒合汽车销售有限公司,东区,晏礼奎,319075.30000000005,214756.59000000003,127554.53000000003,,,,,,,,,,661386.4200000002
A30536,周口鑫马汽车销售服务有限公司,中区,倪超,223906.62,328171.11,199749.0099999999,,,,,,,,,,751826.7399999999
A26215,桐乡市振华汽车贸易有限公司,东区,张晔,350341.0,160239.26,101774.94,,,,,,,,,,612355.2
A26096,上饶市福铃达汽车有限公司,南区,王胜文,116889.34,202572.08999999997,60368.68000000001,,,,,,,,,,379830.1099999999
M18306,北京瑞豪成商贸有限公司,北区,祁玮,309180.88,138607.33000000002,18175.309999999998,,,,,,,,,,465963.52
M18363,东莞市久驰汽车贸易有限公司,南区,张裕坤,254292.02,171830.79,124766.89999999994,,,,,,,,,,550889.71
M18888,青海金团汽车销售服务有限公司,西区,蒋旗,192665.77999999997,108336.74,132158.30999999994,,,,,,,,,,433160.8299999999
A29055,宜昌大宏汽车销售有限公司,中区,张哲,234427.03,108253.57999999999,121588.12999999996,,,,,,,,,,464268.73999999993
A30535,安徽泓德汽车销售服务有限公司,中区,李付敬,253189.94,236403.16999999998,61218.73000000005,,,,,,,,,,550811.8400000001
M18370,兰州金岛骄马汽车销售有限公司,西区,蒋旗,321366.11,116591.37,175286.09999999992,,,,,,,,,,613243.5799999998
M18160,十堰海阜汽车销售服务有限公司,中区,张哲,250803.63999999998,199188.7,76706.66999999998,,,,,,,,,,526699.01
M18090,襄阳建银金马汽车销售有限公司,中区,张哲,137030.4,73392.83,50694.75000000001,,,,,,,,,,261117.97999999998
M18037,常熟豪骏汽车销售服务有限公司,东区,晏礼奎,245750.1,160700.96,100941.76999999999,,,,,,,,,,507392.82999999996
A26218,乐山市联合东升汽车销售服务有限公司,西区,卢冶金,244999.64,225138.72,60567.29,,,,,,,,,,530705.65
M18947,南通正马汽车销售服务有限公司,东区,陈秋刚,129395.21,56224.55,51141.869999999995,,,,,,,,,,236761.63
A22780,盐城申大汽车销售服务有限公司,东区,陈秋刚,194099.93,162067.44,91928.91000000003,,,,,,,,,,448096.28
M18201,贺州市均浩汽车销售有限公司,南区,薛仲锋,207889.04,152851.19,79760.93999999999,,,,,,,,,,440501.17
A27235,威海悦祥汽车服务有限公司,中区,李付敬,245949.13,102675.31999999999,53084.46000000001,,,,,,,,,,401708.91000000003
A32364,淄博安华汽车销售服务有限公司,中区,李伟,230328.33000000002,83478.25,67739.20000000003,,,,,,,,,,381545.78
A26095,太仓华洋汽车销售服务有限公司,东区,晏礼奎,181385.09,68978.92,42705.77000000002,,,,,,,,,,293069.78
M18018,诸暨国赛汽车有限公司,东区,李波,136198.92,99733.98000000001,38314.12,,,,,,,,,,274247.02
M18313,合肥市贺悦汽车销售服务有限公司,中区,李伟,139403.7,49697.61,123905.93000000001,,,,,,,,,,313007.24
M18163,张家港全骏汽车销售服务有限公司,东区,晏礼奎,280893.94,152746.25,205021.5799999999,,,,,,,,,,638661.7699999999
M18138,江西金乐玛汽车销售服务有限公司,南区,王胜文,163712.52000000002,131028.85,47900.60000000002,,,,,,,,,,342641.97000000003
M18371,贵州正合隆汽车销售有限公司,西区,卢冶金,260286.7,217544.46000000002,145501.34000000008,,,,,,,,,,623332.5000000001
M18927,徐州正马汽车销售服务有限公司,东区,陈秋刚,302031.1,295465.37,100282.36999999997,,,,,,,,,,697778.84
M18917,河北桐响汽车贸易有限公司,北区,祁玮,208051.56,126357.47,59263.71999999997,,,,,,,,,,393672.75
M18088,佛山智迪汽车有限公司,南区,宋扬,167376.69,8806.37,8107.66,,,,,,,,,,184290.72
A22537,阜阳市广旭汽车销售服务有限公司,中区,李伟,138558.19999999998,205359.97,61467.80999999998,,,,,,,,,,405385.98
A13279,河北骏达汽车贸易有限公司,北区,祁玮,241210.57,129778.51000000001,101830.09000000005,,,,,,,,,,472819.17000000004
A32359,马鞍山中冠汽车销售服务有限公司,中区,李付敬,271385.52,190596.28,71930.19000000002,,,,,,,,,,533911.9900000001
M18889,安庆瑞呈汽车销售服务有限公司,中区,李付敬,75203.06,100735.98,32585.67,,,,,,,,,,208524.70999999996
A32801,辽宁旺达汽车销售服务有限公司,北区,鲁金泽,204942.3,101050.24,32799.81999999999,,,,,,,,,,338792.36
M18960,泉州道明汽车销售服务有限公司,南区,陈建民,182718.53,124736.99,65587.42000000001,,,,,,,,,,373042.94000000006
M18341,株洲市华兴汽车销售服务有限公司,南区,李志杰,186337.81999999998,83548.35,116307.48999999999,,,,,,,,,,386193.66
M18231,岳阳驭马汽车销售服务有限公司,南区,李志杰,177488.11000000002,157724.06,33924.33000000001,,,,,,,,,,369136.50000000006
M18243,郴州跃马汽车销售有限公司,南区,李志杰,166427.72,109590.95,70502.00000000003,,,,,,,,,,346520.67000000004
M18234,永州驭马汽车销售服务有限公司,南区,李志杰,160989.51,121522.03,77780.07000000002,,,,,,,,,,360291.61000000004
A19776,邢台蓝池跃龙汽车服务有限公司,北区,姜洙,177567.68,113768.12000000001,53780.42000000002,,,,,,,,,,345116.22000000003
M18128,济宁骁华汽车销售服务有限公司,中区,李伟,160519.67,78420.67,46927.81000000002,,,,,,,,,,285868.15
M18297,邯郸德骏汽车销售有限公司,北区,姜洙,220177.66,121356.5,31779.340000000007,,,,,,,,,,373313.50000000006
M18095,内蒙古鸿达汽车销售服务有限公司,北区,姜洙,139035.05000000002,32981.57,44152.32,,,,,,,,,,216168.94000000003
M18246,遵义乾坤君马汽车销售有限公司,西区,卢冶金,102784.84000000001,97691.12,55689.26000000002,,,,,,,,,,256165.22000000003
A28858,清远市骏昇汽车销售服务有限公司,南区,王胜文,186369.02000000002,149084.90000000002,73145.91000000003,,,,,,,,,,408599.8300000001
M18319,慈溪市新亚汽车销售服务有限公司,东区,陈秋刚,194253.06999999998,30245.31,72499.89000000001,,,,,,,,,,296998.27
M18070,泰兴市天利达汽车贸易有限公司,东区,钱曦,198084.0,160130.77,104508.12999999995,,,,,,,,,,462722.89999999997
M18898,南充创达丰汽车服务有限公司,西区,陈莉,134183.39,136197.97,51992.38,,,,,,,,,,322373.74
M18935,福州龙驭汽车销售服务有限公司,南区,陈建民,214503.56,152763.72,68884.59,,,,,,,,,,436151.87
M18195,青岛海昌汽车销售有限公司,中区,李付敬,122176.5,108861.76000000001,30254.520000000004,,,,,,,,,,261292.78000000003
M18362,东莞市通华汽车销售服务有限公司,南区,张裕坤,146561.24,183905.06,129063.24999999991,,,,,,,,,,459529.54999999993
M18137,宿迁永泓汽车销售服务有限公司,东区,钱曦,206258.3,164512.27000000002,63311.13,,,,,,,,,,434081.7
M18902,许昌吉运汽车销售服务有限公司,中区,倪超,144018.99,124249.26,62034.55999999999,,,,,,,,,,330302.81
M18326,南阳兴业汽车销售服务有限公司,中区,倪超,101070.51999999999,86333.27,58471.530000000006,,,,,,,,,,245875.31999999998
M18239,丽水旺昌汽车销售服务有限公司,东区,陈秋刚,170080.57,114422.87000000001,37500.57000000001,,,,,,,,,,322004.01
M18218,包头市鸿燕福达汽车销售服务有限公司,北区,姜洙,143904.35,88761.75,66300.6,,,,,,,,,,298966.7
A26216,揭阳恒诚汽车贸易有限公司,南区,张裕坤,114520.05,152100.02,69733.74000000002,,,,,,,,,,336353.81000000006
A28381,潮州市德隆汽车贸易有限公司,南区,张裕坤,191788.97,68956.66,78478.87999999998,,,,,,,,,,339224.51
M18232,株洲同达汽车销售服务有限公司,南区,李志杰,78555.92,57226.84,74056.49999999999,,,,,,,,,,209839.26
M18328,焦作双达汽车销售服务有限公司,中区,倪超,131115.12,102716.98,80655.34000000004,,,,,,,,,,314487.44
M18915,临沂长驰汽车销售服务有限公司,中区,李伟,100964.75,71852.84999999999,39955.600000000006,,,,,,,,,,212773.19999999998
M18230,九江景润汽车销售服务有限公司,南区,王胜文,79624.22,63852.53999999999,28289.769999999993,,,,,,,,,,171766.53
M18922,东莞市众强贸易有限公司,南区,张裕坤,71529.8,44432.49,21359.950000000004,,,,,,,,,,137322.24000000002
M18247,北京东南得利卡汽车贸易有限公司,北区,祁玮,145790.61,104983.56999999999,30652.55,,,,,,,,,,281426.73
M18071,韶关市荣和通达汽车贸易有限公司,南区,张裕坤,81054.13,120126.72,49641.05999999998,,,,,,,,,,250821.90999999997
M18911,伊宁市笑好泓源汽车服务有限公司,西区,蔡永生,76777.02,54385.96000000001,93.2,,,,,,,,,,131256.18000000002
M18265,洛阳隆马汽车销售服务有限公司,中区,倪超,128766.13999999998,68086.97,52377.59999999999,,,,,,,,,,249230.70999999996
M18259,宜春驭盛汽车服务有限公司,南区,王胜文,192065.84999999998,41060.04,40190.5,,,,,,,,,,273316.39
M18919,唐山丰玮汽车贸易有限公司,北区,祁玮,100047.61,63475.65,32019.740000000013,,,,,,,,,,195543.00000000003
M18175,巴州四季秋林汽车销售有限公司,西区,蔡永生,110168.53,54563.55,69746.51000000002,,,,,,,,,,234478.59000000003
M18897,沧州仓安汽车销售服务有限公司,北区,鲁金泽,129145.45,54802.84999999999,69965.86000000002,,,,,,,,,,253914.16
M18255,孝感景帆汽车销售服务有限公司,中区,张哲,61095.17,36386.490000000005,19454.670000000002,,,,,,,,,,116936.33
M18958,六安市泰源汽车销售服务有限公司,中区,李伟,151199.03,87094.68000000001,27448.230000000003,,,,,,,,,,265741.94
M18954,贵阳京正鸿汽车销售服务有限公司,西区,卢冶金,241984.7,163442.57,155732.98999999996,,,,,,,,,,561160.26
M18169,莆田龙益汽车销售服务有限公司,南区,陈建民,99659.76000000001,68293.73999999999,24648.44,,,,,,,,,,192601.94
M18206,大连盛瑞行汽车有效公司,北区,唐宏宇,86598.42000000001,51289.12,25859.03000000001,,,,,,,,,,163746.57
M18896,阿克苏笑好信恒汽车销售服务有限公司,西区,蔡永生,121435.31999999999,35553.09,41147.969999999994,,,,,,,,,,198136.37999999998
M18067,呼伦贝尔市恒润汽车贸易有限公司,北区,姜洙,65838.63,53514.57,16134.07,,,,,,,,,,135487.27000000002
M18222,承德浩驰汽车销售服务有限公司,北区,鲁金泽,63247.84,30036.620000000003,2252.12,,,,,,,,,,95536.57999999999
M18286,日照市佰世达汽车销售服务有限公司,中区,李付敬,100163.54999999999,40740.64,16944.4,,,,,,,,,,157848.59
M23001,佳木斯嘉达汽车销售服务有限公司,北区,邵传海,50542.14,31927.05,25439.8,,,,,,,,,,107908.99
M18952,吉林市铭航汽车销售服务有限公司,北区,唐宏宇,94957.88999999998,30232.06,67582.79000000001,,,,,,,,,,192772.74
M18267,阜新鑫鑫汽车销售服务有限公司,北区,鲁金泽,0.0,0.0,0.0,,,,,,,,,,0.0
M18920,漳州凯鑫汽车贸易有限公司,南区,陈建民,20401.77,16884.69,24075.040000000005,,,,,,,,,,61361.5
M18939,连云港佳成汽车销售有限公司,东区,钱曦,151728.96000000002,142106.35,88645.91000000006,,,,,,,,,,382481.2200000001
M18912,西藏鼎恒实业有限公司,西区,孔立刚,18838.4,5408.889999999999,2087.6,,,,,,,,,,26334.89
M18959,菏泽佳谊订单中心,中区,李伟,68386.49,55189.52,54120.74999999999,,,,,,,,,,177696.76
M18964,新乡市弘森汽车销售服务有限公司,中区,倪超,128073.6,90078.02,46633.0,,,,,,,,,,264784.62
M18945,汉中骏逸鑫逸汽车销售服务有限公司 ,西区,李兴坤,102643.60999999999,72608.70999999999,72775.37000000001,,,,,,,,,,248027.69
M18083,镇江天佑汽车销售服务有限公司,东区,钱曦,110788.89,45409.2,10593.539999999999,,,,,,,,,,166791.63
M18966,宝鸡福瑞腾汽车销售服务有限公司,西区,李兴坤,133958.87,85491.66,20769.64,,,,,,,,,,240220.16999999998
M18965,泸州长马一鸣汽车贸易有限公司,西区,卢冶金,65451.45999999999,53791.24,12307.86,,,,,,,,,,131550.56
M18962,梅州市华璟新能源汽车有限公司,南区,张裕坤,20917.92,13502.58,28228.56000000002,,,,,,,,,,62649.06000000002
M18969,商丘腾驭汽车销售服务有限公司,中区,倪超,36602.47,57999.869999999995,15485.470000000001,,,,,,,,,,110087.81
M18971,濮阳市利镇汽车销售有限公司,中区,倪超,12698.869999999999,17124.26,3736.85,,,,,,,,,,33559.979999999996
M18976,茂名市百润新能源汽车销售服务有限公司,南区,宋扬,0.0,36161.06,27882.600000000006,,,,,,,,,,64043.66
A13313,宁波万事得汽车有限公司,东区,李波,0.0,0.0,0.0,,,,,,,,,,0.0
M18167,北海瑞祥盛汽车销售服务有限公司,南区,薛仲锋,198113.28000000003,123527.25,56459.57999999999,,,,,,,,,,378100.11
M18221,贵港万马汽车销售服务有限公司,南区,薛仲锋,117299.6,171805.44,86852.77,,,,,,,,,,375957.81000000006
M18617,武汉龙泰汽车销售服务有限公司,中区,张哲,79761.18,73893.91,57267.77000000002,,,,,,,,,,210922.86000000002
M18242,邵阳驭马汽车销售服务有限公司,南区,李志杰,170003.85,169420.07,94307.93999999996,,,,,,,,,,433731.86
A21357,泸州安马车业有限公司,西区,卢冶金,141890.22999999998,97892.77,112096.45000000004,,,,,,,,,,351879.45000000007
M18121,扬州天盛达汽车贸易有限公司,东区,钱曦,53659.64,56074.17,37333.67,,,,,,,,,,147067.47999999998
M18382,哈尔滨乾丰汽车销售服务有限责任公司,北区,邵传海,86861.21,55470.689999999995,16488.380000000005,,,,,,,,,,158820.28
M18217,宣城瑞冠汽车销售有限公司,中区,李付敬,14128.7,2209.93,23713.040000000005,,,,,,,,,,40051.670000000006
M18972,聊城驭马汽车销售服务有限公司,中区,李伟,99148.67000000001,59969.64,48521.93000000001,,,,,,,,,,207640.24
M18981,扬州上辰汽车销售服务有限公司,东区,钱曦,,6406.94,136114.66999999998,,,,,,,,,,
A22778,宜兴市苏源汽车销售服务有限公司,东区,晏礼奎,167810.09,79509.47,76961.01000000004,,,,,,,,,,324280.57000000007
M18233,泰安金马汽车销售服务有限公司,中区,李伟,50272.43,32347.11,17231.67,,,,,,,,,,99851.21
M18179,廊坊市永昂汽车销售有限公司,北区,邵传海,95050.87999999999,26099.79,19903.130000000005,,,,,,,,,,141053.8
M18209,张家口耀祥汽车销售有限公司,北区,鲁金泽,120468.96,48224.4,57807.90000000001,,,,,,,,,,226501.26
A18056,赤峰新雅迪汽车销售服务有限公司,北区,姜洙,197307.56,114543.31,27588.64,,,,,,,,,,339439.51
M18075,苏州恒昌汽车销售有限公司,东区,晏礼奎,79901.81,111044.84,0.0,,,,,,,,,,190946.65
A19795,衢州龙达汽车销售服务有限公司,东区,陈秋刚,196459.7,104102.21,81188.36,,,,,,,,,,381750.27
