经销商代码,经销商简称,状态,营销大区,服务区域经理,26年分配,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,是否有任务书,Q1,Q2,Q3,Q4
M18238,衡阳致瑞汽车销售服务有限公司,正常,南区,李志杰,6000000,591100,358300,635900,501500,537400,510500,438900,474700,573200,501500,429900,447100,是,1585300.0,,,
A18077,深圳通利华福滨汽车服务有限公司,正常,南区,薛仲锋,7400000,729000,441800,784200,618600,662700,629600,541200,585400,706900,618600,530200,551800,是,1955000.0,,,
A13339,惠州市通力达汽车销售服务有限公司,正常,南区,张裕坤,6500000,640300,388100,688900,543300,582100,553000,475400,514200,620900,543300,465700,484800,是,1717300.0,,,
A14981,江门市振宇汽车销售服务有限公司,正常,南区,宋扬,5800000,571400,346300,614700,484800,519500,493500,424200,458900,554100,484800,415600,432200,是,1532400.0,,,
M18613,广州博程汽车有限公司,正常,南区,王胜文,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
M18042,深圳通利华龙城汽车销售服务有限公司,正常,南区,薛仲锋,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
A13258,江西江铃海外马自达汽车销售服务有限公司,正常,南区,王胜文,4400000,433500,262700,466300,367800,394100,374400,321800,348100,420300,367800,315300,327900,是,1162500.0,,,
M18351,广东物通驭达汽车有限公司,正常,南区,王胜文,4500000,443300,268700,476900,376200,403000,382900,329200,356000,429900,376200,322400,335300,是,1188900.0,,,
A21336,佛山骏迪汽车有限公司,正常,南区,宋扬,5500000,541800,328400,582900,459800,492600,468000,402300,435100,525400,459800,394100,409800,是,1453100.0,,,
M18051,百色万马汽车销售服务有限公司,正常,南区,薛仲锋,4200000,413800,250800,445100,351100,376200,357400,307200,332300,401200,351100,300900,312900,是,1109700.0,,,
A13341,佛山海迪汽车有限公司,正常,南区,宋扬,5250000,517200,313500,556400,438900,470200,446700,384000,415300,501500,438900,376200,391200,是,1387100.0,,,
A13338,东莞市通益汽车销售服务有限公司,正常,南区,张裕坤,6000000,591100,358300,635900,501500,537400,510500,438900,474700,573200,501500,429900,447100,是,1585300.0,,,
A19820,佛山市耀田汽车有限公司,正常,南区,宋扬,5000000,492600,298600,529900,418000,447800,425400,365700,395600,477700,418000,358300,372400,是,1321100.0,,,
A13340,中山市万事得汽车销售服务有限公司,正常,南区,宋扬,3900000,384200,232900,413300,326000,349300,331800,285300,308600,372600,326000,279500,290500,是,1030400.0,,,
M18245,常德汇智汽车销售服务有限公司,正常,南区,李志杰,3350000,330000,200000,355000,280000,300000,285000,245000,265000,320000,280000,240000,250000,是,885000.0,,,
A15116,柳州鑫广达博骏汽车销售服务有限公司,正常,南区,薛仲锋,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
M18009,桂林鑫广达博骏汽车销售服务有限公司,正常,南区,薛仲锋,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
M18365,中山市中达汽车销售服务有限公司,正常,南区,宋扬,3900000,384200,232900,413300,326000,349300,331800,285300,308600,372600,326000,279500,290500,是,1030400.0,,,
A15497,福州杰龙车业发展有限公司,正常,南区,陈建民,3500000,344800,209000,370900,292600,313500,297800,256000,276900,334400,292600,250800,260700,,924700.0,,,
M18235,湖南长驰长马汽车销售服务有限公司,正常,南区,李志杰,3700000,364500,220900,392100,309300,331400,314800,270600,292700,353500,309300,265100,275800,是,977500.0,,,
M18251,长沙瑞亿达汽车销售服务有限公司,正常,南区,李志杰,3700000,364500,220900,392100,309300,331400,314800,270600,292700,353500,309300,265100,275800,是,977500.0,,,
M18118,赣州腾马汽车服务有限公司,正常,南区,王胜文,3000000,295600,179200,318000,250800,268700,255300,219500,237400,286600,250800,215000,223100,是,792800.0,,,
M18353,厦门吉顺丰汽车贸易有限公司,正常,南区,陈建民,3400000,335000,203000,360300,284200,304500,289300,248700,269000,324800,284200,243600,253400,是,898300.0,,,
M18610,广西马之悦汽车销售服务有限公司,正常,南区,薛仲锋,3700000,364500,220900,392100,309300,331400,314800,270600,292700,353500,309300,265100,275800,是,977500.0,,,
M18025,肇庆美轮庆达汽车有限公司,正常,南区,宋扬,3350000,330000,200000,355000,280000,300000,285000,245000,265000,320000,280000,240000,250000,是,885000.0,,,
A26096,上饶市福铃达汽车有限公司,正常,南区,王胜文,2100000,206900,125400,222600,175600,188100,178700,153600,166200,200600,175600,150500,156200,是,554900.0,,,
M18363,东莞市久驰汽车贸易有限公司,正常,南区,张裕坤,2700000,266000,161200,286200,225700,241800,229800,197500,213600,258000,225700,193500,201000,是,713400.0,,,
M18201,贺州市均浩汽车销售有限公司,正常,南区,薛仲锋,2400000,236500,143300,254400,200600,215000,204200,175600,189900,229300,200600,172000,178600,是,634200.0,,,
M18138,江西金乐玛汽车销售服务有限公司,正常,南区,王胜文,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
M18088,佛山智迪汽车有限公司,正常,南区,宋扬,1760000,173400,105100,186600,147200,157700,149800,128800,139300,168200,147200,126100,130600,是,465100.0,,,
M18960,泉州道明汽车销售服务有限公司,正常,南区,陈建民,1600000,157700,95600,169600,133800,143300,136200,117100,126600,152900,133800,114700,118700,是,422900.0,,,
M18341,株洲市华兴汽车销售服务有限公司,正常,南区,李志杰,1750000,172400,104500,185500,146300,156800,148900,128000,138500,167200,146300,125400,130200,是,462400.0,,,
M18231,岳阳驭马汽车销售服务有限公司,正常,南区,李志杰,1700000,167500,101500,180200,142100,152300,144700,124400,134500,162400,142100,121800,126500,是,449200.0,,,
M18243,郴州跃马汽车销售有限公司,正常,南区,李志杰,1500000,147800,89600,159000,125400,134400,127700,109800,118700,143300,125400,107500,111400,是,396400.0,,,
M18234,永州驭马汽车销售服务有限公司,正常,南区,李志杰,1500000,147800,89600,159000,125400,134400,127700,109800,118700,143300,125400,107500,111400,是,396400.0,,,
A28858,清远市骏昇汽车销售服务有限公司,正常,南区,王胜文,1800000,177400,107500,190800,150500,161200,153200,131700,142400,172000,150500,129000,133800,是,475700.0,,,
M18935,福州龙驭汽车销售服务有限公司,正常,南区,陈建民,2300000,226600,137400,243800,192300,206000,195700,168300,182000,219800,192300,164800,171000,,607800.0,,,
M18362,东莞市通华汽车销售服务有限公司,正常,南区,张裕坤,1800000,177400,107500,190800,150500,161200,153200,131700,142400,172000,150500,129000,133800,是,475700.0,,,
A26216,揭阳恒诚汽车贸易有限公司,正常,南区,张裕坤,1500000,147800,89600,159000,125400,134400,127700,109800,118700,143300,125400,107500,111400,是,396400.0,,,
A28381,潮州市德隆汽车贸易有限公司,正常,南区,张裕坤,1400000,138000,83600,148400,117100,125400,119200,102400,110800,133800,117100,100300,103900,是,370000.0,,,
M18232,株洲同达汽车销售服务有限公司,正常,南区,李志杰,1100000,108400,65700,116600,92000,98600,93600,80500,87100,105100,92000,78900,81500,是,290700.0,,,
M18230,九江景润汽车销售服务有限公司,正常,南区,王胜文,1000000,98600,59800,106000,83600,89600,85100,73200,79200,95600,83600,71700,74000,是,264400.0,,,
M18922,东莞市众强贸易有限公司,正常,南区,张裕坤,1200000,118300,71700,127200,100300,107500,102100,87800,95000,114700,100300,86000,89100,是,317200.0,,,
M18071,韶关市荣和通达汽车贸易有限公司,正常,南区,张裕坤,1200000,118300,71700,127200,100300,107500,102100,87800,95000,114700,100300,86000,89100,是,317200.0,,,
M18259,宜春驭盛汽车服务有限公司,正常,南区,王胜文,1000000,98600,59800,106000,83600,89600,85100,73200,79200,95600,83600,71700,74000,是,264400.0,,,
M18169,莆田龙益汽车销售服务有限公司,正常,南区,陈建民,1000000,98600,59800,106000,83600,89600,85100,73200,79200,95600,83600,71700,74000,,264400.0,,,
M18920,漳州凯鑫汽车贸易有限公司,正常,南区,陈建民,500000,49300,29900,53000,41800,44800,42600,36600,39600,47800,41800,35900,36900,是,132200.0,,,
M18962,梅州市华璟新能源汽车有限公司,正常,南区,张裕坤,500000,49300,29900,53000,41800,44800,42600,36600,39600,47800,41800,35900,36900,是,132200.0,,,
M18167,北海瑞祥盛汽车销售服务有限公司,退网(售后延续),南区,薛仲锋,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
M18221,贵港万马汽车销售服务有限公司,退网(售后延续),南区,薛仲锋,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
M18242,邵阳驭马汽车销售服务有限公司,退网(售后延续),南区,李志杰,500000,49300,29900,53000,41800,44800,42600,36600,39600,47800,41800,35900,36900,是,132200.0,,,
M18976,茂名百润,正常（新店）,南区,宋扬,1000000,98600,59800,106000,83600,89600,85100,73200,79200,95600,83600,71700,74000,是,264400.0,,,
A17997,武汉银马汽车销售有限公司,正常,中区,张哲,7500000,738900,447800,794800,626900,671700,638100,548600,593300,716500,626900,537400,559100,是,1981500.0,,,
A13302,合肥建银海康达汽车销售有限公司,正常,中区,李伟,7200000,709300,429900,763000,601800,644800,612600,526600,569600,687800,601800,515900,536900,是,1902200.0,,,
M18270,山东惠骋汽车贸易有限公司,正常,中区,李伟,6000000,591100,358300,635900,501500,537400,510500,438900,474700,573200,501500,429900,447100,是,1585300.0,,,
M18190,河南小伙伴汽车销售有限公司,正常,中区,倪超,5800000,571400,346300,614700,484800,519500,493500,424200,458900,554100,484800,415600,432200,是,1532400.0,,,
A27896,青岛安隆达汽车销售有限公司,正常,中区,李付敬,5200000,512300,310500,551100,434700,465700,442400,380300,411400,496800,434700,372600,387500,是,1373900.0,,,
A13261,潍坊东裕车业发展有限公司,正常,中区,李伟,3800000,374400,226900,402700,317700,340300,323300,278000,300600,363000,317700,272300,283100,是,1004000.0,,,
A13265,武汉龙泰元汽车销售服务有限公司,正常,中区,张哲,4200000,413800,250800,445100,351100,376200,357400,307200,332300,401200,351100,300900,312900,是,1109700.0,,,
A13275,烟台泓和汽车销售服务有限公司,正常,中区,李付敬,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
M18049,芜湖瑞马汽车销售服务有限公司,正常,中区,李付敬,3000000,295600,179200,318000,250800,268700,255300,219500,237400,286600,250800,215000,223100,是,792800.0,,,
A30536,周口鑫马汽车销售服务有限公司,正常,中区,倪超,2500000,246300,149300,265000,209000,223900,212700,182900,197800,238900,209000,179200,186000,是,660600.0,,,
A29055,宜昌大宏汽车销售有限公司,正常,中区,张哲,3100000,305400,185100,328600,259200,277700,263800,226800,245300,296200,259200,222100,230600,是,819100.0,,,
A30535,安徽泓德汽车销售服务有限公司,正常,中区,李付敬,2100000,206900,125400,222600,175600,188100,178700,153600,166200,200600,175600,150500,156200,是,554900.0,,,
M18160,十堰海阜汽车销售服务有限公司,正常,中区,张哲,2300000,226600,137400,243800,192300,206000,195700,168300,182000,219800,192300,164800,171000,是,607800.0,,,
M18090,襄阳建银金马汽车销售有限公司,正常,中区,张哲,2300000,226600,137400,243800,192300,206000,195700,168300,182000,219800,192300,164800,171000,是,607800.0,,,
A27235,威海悦祥汽车服务有限公司,正常,中区,李付敬,1642000,161800,98100,174100,137300,147100,139700,120100,129900,156900,137300,117700,122000,是,434000.0,,,
A32364,淄博安华汽车销售服务有限公司,正常,中区,李伟,2400000,236500,143300,254400,200600,215000,204200,175600,189900,229300,200600,172000,178600,是,634200.0,,,
M18313,合肥市贺悦汽车销售服务有限公司,正常,中区,李伟,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
A22537,阜阳市广旭汽车销售服务有限公司,正常,中区,李伟,1600000,157700,95600,169600,133800,143300,136200,117100,126600,152900,133800,114700,118700,是,422900.0,,,
A32359,马鞍山中冠汽车销售服务有限公司,正常,中区,李付敬,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
M18889,安庆瑞呈汽车销售服务有限公司,正常,中区,李付敬,2100000,206900,125400,222600,175600,188100,178700,153600,166200,200600,175600,150500,156200,是,554900.0,,,
M18128,济宁骁华汽车销售服务有限公司,正常,中区,李伟,1800000,177400,107500,190800,150500,161200,153200,131700,142400,172000,150500,129000,133800,是,475700.0,,,
M18195,青岛海昌汽车销售有限公司,正常,中区,李付敬,1650000,162600,98600,174900,138000,147800,140400,120700,130600,157700,138000,118300,122400,是,436100.0,,,
M18902,许昌吉运汽车销售服务有限公司,正常,中区,倪超,2000000,197100,119500,212000,167200,179200,170200,146300,158300,191100,167200,143300,148600,是,528600.0,,,
M18326,南阳兴业汽车销售服务有限公司,正常,中区,倪超,1150000,113300,68700,121900,96200,103000,97900,84200,91000,109900,96200,82400,85300,是,303900.0,,,
M18328,焦作双达汽车销售服务有限公司,正常,中区,倪超,1700000,167500,101500,180200,142100,152300,144700,124400,134500,162400,142100,121800,126500,是,449200.0,,,
M18915,临沂长驰汽车销售服务有限公司,正常,中区,李伟,1350000,133000,80600,143100,112900,120900,114900,98800,106800,129000,112900,96800,100300,是,356700.0,,,
M18265,洛阳隆马汽车销售服务有限公司,正常,中区,倪超,1500000,147800,89600,159000,125400,134400,127700,109800,118700,143300,125400,107500,111400,是,396400.0,,,
M18255,孝感景帆汽车销售服务有限公司,正常,中区,张哲,1400000,138000,83600,148400,117100,125400,119200,102400,110800,133800,117100,100300,103900,是,370000.0,,,
M18958,六安市泰源汽车销售服务有限公司,正常,中区,李伟,1700000,167500,101500,180200,142100,152300,144700,124400,134500,162400,142100,121800,126500,是,449200.0,,,
M18286,日照市佰世达汽车销售服务有限公司,正常,中区,李付敬,650000,64100,38900,68900,54400,58300,55300,47600,51500,62100,54400,46600,47900,是,171900.0,,,
M18959,菏泽佳谊订单中心,正常,中区,李伟,800000,78900,47800,84800,66900,71700,68100,58600,63300,76500,66900,57400,59100,是,211500.0,,,
M18964,新乡市弘森汽车销售服务有限公司,正常,中区,倪超,1300000,128100,77700,137800,108700,116500,110600,95100,102900,124200,108700,93200,96500,是,343600.0,,,
M18217,宣城瑞冠汽车销售有限公司,正常,中区,李付敬,750000,73900,44800,79500,62700,67200,63900,54900,59400,71700,62700,53800,55500,是,198200.0,,,
M18969,商丘腾驭,新,中区,倪超,600000,59200,35900,63600,50200,53800,51100,43900,47500,57400,50200,43000,44200,是,158700.0,,,
M18971,濮阳市利镇,新,中区,倪超,300000,29600,18000,31800,25100,26900,25600,22000,23800,28700,25100,21500,21900,是,79400.0,,,
M18233,泰安金马汽车销售服务有限公司,正常,中区,李伟,1000000,98600,59800,106000,83600,89600,85100,73200,79200,95600,83600,71700,74000,,264400.0,,,
M18972,聊城驭马汽车销售服务有限公司,正常,中区,李伟,1050000,103500,62700,111300,87800,94100,89400,76800,83100,100300,87800,75300,77900,是,277500.0,,,
M18099,山西马博士汽车销售有限公司,正常,北区,姜洙,3684000,363000,220000,390400,308000,330000,313500,269500,291500,352000,308000,264000,274100,是,973400.0,,,
M18069,中国长安汽车集团天津销售有限公司,正常,北区,邵传海,3722000,366700,222300,394500,311100,333400,316700,272300,294500,355600,311100,266700,277100,是,983500.0,,,
M18229,天津远大盈之马汽车销售服务有限公司,正常,北区,邵传海,3596000,354300,214700,381100,300600,322100,306000,263000,284500,343500,300600,257700,267900,是,950100.0,,,
M18390,保定市威达汽车销售服务有限公司,正常,北区,鲁金泽,3959000,390000,236400,419600,331000,354600,336900,289600,313200,378200,331000,283700,294800,是,1046000.0,,,
M18209,张家口耀祥汽车销售有限公司,退网,北区,鲁金泽,1300000,128100,77700,137800,108700,116500,110600,95100,102900,124200,108700,93200,96500,是,343600.0,,,
M18897,沧州仓安汽车销售服务有限公司,正常,北区,鲁金泽,1088000,107200,65000,115300,91000,97500,92600,79600,86100,104000,91000,78000,80700,是,287500.0,,,
M18222,承德浩驰汽车销售服务有限公司,正常,北区,鲁金泽,600000,59200,35900,63600,50200,53800,51100,43900,47500,57400,50200,43000,44200,是,158700.0,,,
M18179,廊坊市永昂汽车销售有限公司,退网,北区,邵传海,720000,71000,43000,76300,60200,64500,61300,52700,57000,68800,60200,51600,53400,是,190300.0,,,
M18247,北京东南得利卡汽车贸易有限公司,正常,北区,祁玮,1590000,156700,95000,168500,132900,142400,135300,116300,125800,151900,132900,114000,118300,是,420200.0,,,
M18038,北京仁正利成汽车销售服务有限公司,正常,北区,祁玮,4580000,451200,273500,485400,382900,410200,389700,335000,362300,437500,382900,328200,341200,是,1210100.0,,,
M18307,北京华日通汽车销售服务有限公司,正常,北区,祁玮,3555000,350200,212300,376800,297200,318400,302500,260000,281300,339600,297200,254700,264800,是,939300.0,,,
M18306,北京瑞豪成商贸有限公司,正常,北区,祁玮,2421000,238500,144600,256600,202400,216900,206000,177100,191600,231300,202400,173500,180100,是,639700.0,,,
M18919,唐山丰玮汽车贸易有限公司,正常,北区,祁玮,1105000,108900,66000,117100,92400,99000,94100,80900,87500,105600,92400,79200,81900,是,292000.0,,,
M18917,河北桐响汽车贸易有限公司,正常,北区,祁玮,2105000,207400,125700,223100,176000,188600,179100,154000,166600,201100,176000,150900,156500,是,556200.0,,,
A13279,河北骏达汽车贸易有限公司,正常,北区,祁玮,2211000,217800,132000,234300,184800,198000,188100,161700,174900,211200,184800,158400,165000,是,584100.0,,,
A19776,邢台蓝池跃龙汽车服务有限公司,正常,北区,姜洙,1781000,175500,106400,188800,148900,159500,151600,130300,140900,170200,148900,127600,132400,是,470700.0,,,
M18297,邯郸德骏汽车销售有限公司,正常,北区,姜洙,1877000,184900,112100,199000,156900,168100,159700,137300,148500,179300,156900,134500,139800,是,496000.0,,,
A17995,哈尔滨龙洋汽车销售有限公司,正常,北区,邵传海,5730000,564500,342100,607300,479000,513200,487500,419100,453300,547400,479000,410600,427000,是,1513900.0,,,
M18382,哈尔滨乾丰汽车销售服务有限责任公司,退网,北区,邵传海,928000,91500,55500,98400,77600,83200,79000,67900,73500,88700,77600,66500,68600,是,245400.0,,,
M23001,佳木斯嘉达汽车销售服务有限公司,正常,北区,邵传海,866000,85400,51800,91800,72400,77600,73700,63400,68600,82800,72400,62100,64000,是,229000.0,,,
A18056,赤峰新雅迪汽车销售服务有限公司,正常,北区,姜洙,1623000,159900,96900,172000,135700,145400,138100,118700,128400,155100,135700,116300,120800,是,428800.0,,,
M18095,内蒙古鸿达汽车销售服务有限公司,黑牌,北区,姜洙,1585000,156200,94700,168000,132500,142000,134900,116000,125400,151500,132500,113600,117700,是,418900.0,,,
M18218,包头市鸿燕福达汽车销售服务有限公司,正常,北区,姜洙,1475000,145300,88100,156400,123300,132100,125500,107900,116700,140900,123300,105700,109800,是,389800.0,,,
M18067,呼伦贝尔市恒润汽车贸易有限公司,正常,北区,姜洙,766000,75500,45800,81200,64100,68600,65200,56100,60600,73200,64100,54900,56700,是,202500.0,,,
